"","VIX"
"1996-01-01",NA
"1996-01-02",-2.56091619044391
"1996-01-03",-0.047628048989254
"1996-01-04",0.696191322941173
"1996-01-05",-0.062716473867626
"1996-01-08",-0.164996773136649
"1996-01-09",0.580123792156551
"1996-01-10",0.298837566623566
"1996-01-11",-0.25494337306634
"1996-01-12",-0.0248459985865308
"1996-01-15",-0.0671975388682773
"1996-01-16",-0.214214920569908
"1996-01-17",0.0434851119397388
"1996-01-18",-0.196247866492149
"1996-01-19",-0.330663895025467
"1996-01-22",0.249811798396371
"1996-01-23",0.0743585673185461
"1996-01-24",-0.394128954321828
"1996-01-25",0.172612742666994
"1996-01-26",-0.468378933518733
"1996-01-29",0.110541874399823
"1996-01-30",0.125505081750294
"1996-01-31",0.0548766102258345
"1996-02-01",0.0520211847508785
"1996-02-02",0.233230752847611
"1996-02-05",0.0806040324146293
"1996-02-06",0.319983017240102
"1996-02-07",-0.122070944217031
"1996-02-08",-0.062698594215564
"1996-02-09",0.192077731739319
"1996-02-12",0.0120628724492748
"1996-02-13",0.450021129658397
"1996-02-14",-0.256570682169733
"1996-02-15",0.097822293093845
"1996-02-16",-0.142274055664679
"1996-02-20",0.252461612070821
"1996-02-21",-0.448094513503015
"1996-02-22",0.0223611801581569
"1996-02-23",0.0456261608267763
"1996-02-26",0.313747840081121
"1996-02-27",0.0403416047090062
"1996-02-28",0.0147181724740211
"1996-02-29",0.0475525402490824
"1996-03-01",-0.0475525402490824
"1996-03-04",-0.00815000436192381
"1996-03-05",-0.0961288454251612
"1996-03-06",0.0796268207887731
"1996-03-07",-0.0117156151725624
"1996-03-08",0.517871450599193
"1996-03-11",-0.0367763609915457
"1996-03-12",-0.129821914374335
"1996-03-13",-0.115416170646117
"1996-03-14",-0.167537760609718
"1996-03-15",-0.0599369652246731
"1996-03-18",0.1149967424077
"1996-03-19",0.141313533066578
"1996-03-20",0.0367828403570343
"1996-03-21",-0.117471751607177
"1996-03-22",-0.0985366678386832
"1996-03-25",0.112445097884815
"1996-03-26",-0.00554018037561477
"1996-03-27",0.012422519998557
"1996-03-28",0.0350440172403665
"1996-03-29",0.0874527806604473
"1996-04-01",-0.121125995767035
"1996-04-02",-0.212921997242672
"1996-04-03",-0.020548668227387
"1996-04-04",-0.0262942405326871
"1996-04-08",0.362519288918801
"1996-04-09",-0.184053587413763
"1996-04-10",0.344716654949859
"1996-04-11",-0.0585215716196563
"1996-04-12",-0.277319285416234
"1996-04-15",-0.0812707564585979
"1996-04-16",-0.0592278342003336
"1996-04-17",0.0953101798043257
"1996-04-18",-0.102112927127078
"1996-04-19",-0.244269579516467
"1996-04-22",0.055098680876938
"1996-04-23",-0.0793556585224984
"1996-04-24",-0.0225743220385386
"1996-04-25",-0.0419641990990325
"1996-04-26",0.00711746776886368
"1996-04-29",0.15110653744603
"1996-04-30",0.0725097153659915
"1996-05-01",0.0425596144187956
"1996-05-02",0.371063681390832
"1996-05-03",-0.264616799520785
"1996-05-06",0.0336300707455495
"1996-05-07",-0.00790517950711322
"1996-05-08",-0.184228135064537
"1996-05-09",0.201537772599628
"1996-05-10",-0.232548009342188
"1996-05-13",-0.0927543934922479
"1996-05-14",-0.0577938589906442
"1996-05-15",0.146603474191876
"1996-05-16",0.0215062052209634
"1996-05-17",-0.116816385025288
"1996-05-20",0.134074723254569
"1996-05-21",0.037317763007195
"1996-05-22",-0.0940289496482762
"1996-05-23",0.122911823797062
"1996-05-24",-0.114895748808826
"1996-05-28",0.237018897807827
"1996-05-29",0.0340590195919184
"1996-05-30",-0.183235216062629
"1996-05-31",0.00909924385511385
"1996-06-03",0.130583210423346
"1996-06-04",-0.11085162856075
"1996-06-05",-0.0251811866301601
"1996-06-06",0.13284809912339
"1996-06-07",-0.121978426886487
"1996-06-10",0.112362968187044
"1996-06-11",-0.0145987994211527
"1996-06-12",0.0478560211776351
"1996-06-13",0.0185190477672377
"1996-06-14",0.204001256409316
"1996-06-17",-0.15623098014063
"1996-06-18",-0.00145878946365929
"1996-06-19",0.0130531222445791
"1996-06-20",-0.0810037841530873
